event_date,ota,hotel_name,location,room_type,prices
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】お部屋タイプおまかせ（28平米以上）禁煙,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【スパフロア】デラックスツイン（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】コーナーカルテット（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】コーナーファミリーカルテット（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【プリファードフロア】デラックスツイン（六甲山側/禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【プリファードフロア】デラックスキング（六甲山側/禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】モデレートツイン（喫煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】モデレートツイン（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】コネクティングルーム36+36平米/禁煙,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】コネクティングファミリールーム（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【スパフロア】モデレートツイン（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,2020年4月RENEWAL★プリファードダブル（海側禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】プレミアツイン（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】コーナーツイン（喫煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】デラックスファミリーツインA（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【スパフロア】プレミアツイン（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【プリファードフロア】プレミアキング（海側/禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【プリファードフロア】コーナーツイン（六甲山側/禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【スパフロア】テラスツイン（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【シェラトンフロア】プレミアファミリーツイン（禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【クラブフロア】デラックスツイン（六甲山側/禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【クラブフロア】クラブジャパニーズスイート（海側/禁煙） ,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,2021年11月RENEWAL★クラブダブル（海側/禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,専有温泉露天風呂付和室（禁煙） ,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【クラブフロア】プレミアキング（海側/禁煙）,5812
2024-08-25,rakuten,神戸ベイシェラトンホテル＆タワーズ,神戸・有馬温泉・六甲山,【クラブフロア】コーナーツイン（六甲山側/禁煙）,5812
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,＊飛泉閣または山水閣おまかせ【和室又は和洋室】,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,山水閣または飛泉閣【和室 ８畳〜１０畳】,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,飛泉閣または山水閣【和洋室】,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,臨川閣【和室12.5畳】バルコニー付【室内の温泉付】 ,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,【飛泉閣「6階」】和洋室2022年12月リニューアルOPEN,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,飛泉閣７Ｆ【和洋室】［禁煙］,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,臨川閣【和室12.5畳＋6畳】バルコニー付【室内の温泉付】 ,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,山水閣ベッドルーム【トリプル+和控え】[禁煙] 新ルーム,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,山水閣【和洋室】[禁煙] 新ルーム,6600
2024-08-25,rakuten,下呂温泉　水明館,下呂温泉・濁河温泉,【シングル】,6600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館和室渓谷側10畳（3階〜5階）,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館洋室（ツイン又はハリウッドツイン）,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館洋室(スモールツイン・２０平米),17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館和室街側12畳,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館和室渓谷側10畳又は街側12畳,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館和室渓谷側12畳,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】八番館ベッド付和室（10畳+ベッド）,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館■眺望風呂付■リラックス和洋室,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】秀峰館最上階デラックスツイン（約42平米）,17600
2024-08-25,rakuten,鬼怒川温泉　あさや,鬼怒川・川治・湯西川・川俣,【禁煙】八番館■眺望風呂付■和洋室（10畳+ベッド）,17600
2024-08-25,rakuten,黒部・宇奈月温泉　やまのは（オリックスホテルズ＆...,滑川・魚津・朝日・黒部・宇...,別館・飛鳥　大部屋/禁煙（バス無し）,6050
2024-08-25,rakuten,黒部・宇奈月温泉　やまのは（オリックスホテルズ＆...,滑川・魚津・朝日・黒部・宇...,本館　スーペリア和室二間　街側/禁煙,6050
2024-08-25,rakuten,黒部・宇奈月温泉　やまのは（オリックスホテルズ＆...,滑川・魚津・朝日・黒部・宇...,本館 スタンダード和室　山側/禁煙(12畳),6050
2024-08-25,rakuten,黒部・宇奈月温泉　やまのは（オリックスホテルズ＆...,滑川・魚津・朝日・黒部・宇...,本館　スタンダード和室　川側/禁煙（12畳）,6050
